Date,Time,Obs Wind Speed,Obs Wind Direction,Wind Speed,Wind Direction
4/4/2017,0:00,7.0,306.0,6.3,172.0
4/4/2017,1:00,7.2,185.0,7.3,179.7
4/4/2017,2:00,7.1,244.3,6.9,194.9
4/4/2017,3:00,6.6,62.2,6.6,208.4
4/4/2017,4:00,6.7,187.7,6.1,206.1
4/4/2017,5:00,7.1,188.5,5.8,198.5
4/4/2017,6:00,7.4,251.4,6.1,197.2
4/4/2017,7:00,7.7,248.1,6.6,190.0
4/4/2017,8:00,7.7,194.3,6.8,202.7
4/4/2017,9:00,8.7,253.9,7.6,206.2
4/4/2017,10:00,9.3,204.8,8.7,210.0
4/4/2017,11:00,9.2,195.7,9.2,209.0
4/4/2017,12:00,10.1,253.1,9.7,210.0
4/4/2017,13:00,9.1,198.7,9.5,208.5
4/4/2017,14:00,9.6,195.5,9.2,210.4
4/4/2017,15:00,8.4,256.0,8.5,217.9
4/4/2017,16:00,7.5,198.4,7.4,226.1
4/4/2017,17:00,5.6,198.4,6.4,227.6
4/4/2017,18:00,2.8,220.6,4.2,223.5
4/4/2017,19:00,2.2,285.2,3.8,232.5
4/4/2017,20:00,1.8,218.4,4.0,235.0
4/4/2017,21:00,0.7,235.0,3.4,226.8
4/4/2017,22:00,1.1,47.1,2.3,211.5
4/4/2017,23:00,2.2,51.0,2.0,202.2
4/5/2017,0:00,2.6,38.6,2.6,212.2
4/5/2017,1:00,2.8,24.8,2.0,204.6
4/5/2017,2:00,3.6,21.1,2.0,213.7
4/5/2017,3:00,3.6,8.6,1.0,184.7
4/5/2017,4:00,3.2,11.2,1.1,46.7
4/5/2017,5:00,3.8,11.4,3.8,27.5
4/5/2017,6:00,5.5,15.2,5.4,30.9
4/5/2017,7:00,5.3,28.3,6.1,31.6
4/5/2017,8:00,6.0,31.4,6.2,29.8
4/5/2017,9:00,3.5,37.0,6.6,34.7
4/5/2017,10:00,1.9,41.3,6.9,38.9
4/5/2017,11:00,2.2,117.0,5.8,42.2
4/5/2017,12:00,3.8,358.1,3.6,56.1
4/5/2017,13:00,NaN,,1.3,35.5
4/5/2017,14:00,NaN,,1.1,342.7
4/5/2017,15:00,NaN,,1.6,304.9
4/5/2017,16:00,NaN,,2.3,284.3
4/5/2017,17:00,6.2,228.6,3.1,292.7
4/5/2017,18:00,7.2,218.4,3.7,325.6
4/5/2017,19:00,3.9,280.6,4.1,356.3
4/5/2017,20:00,2.6,48.7,5.4,13.8
4/5/2017,21:00,1.4,92.4,6.0,36.9
4/5/2017,22:00,1.7,80.7,5.9,42.8
4/5/2017,23:00,1.1,316.9,4.8,37.6
4/6/2017,0:00,1.0,121.0,3.5,45.4
4/6/2017,1:00,2.3,48.6,0.5,201.6
4/6/2017,2:00,1.1,98.8,0.9,215.7
4/6/2017,3:00,1.8,31.6,1.5,200.2
4/6/2017,4:00,2.5,15.0,1.2,191.0
4/6/2017,5:00,2.4,22.6,2.6,122.6
4/6/2017,6:00,1.0,53.1,2.0,33.4
4/6/2017,7:00,0.8,351.3,2.5,341.3
4/6/2017,8:00,1.5,267.6,3.0,37.5
4/6/2017,9:00,1.0,73.8,0.7,327.1
4/6/2017,10:00,2.1,50.0,1.6,48.0
4/6/2017,11:00,1.3,53.7,1.1,325.2
4/6/2017,12:00,2.2,74.8,1.6,283.3
4/6/2017,13:00,3.2,32.6,4.5,267.0
4/6/2017,14:00,2.5,32.5,4.9,281.8
4/6/2017,15:00,3.6,339.1,6.4,292.5
4/6/2017,16:00,6.5,310.5,8.3,293.6
4/6/2017,17:00,5.8,301.0,7.7,298.9
4/6/2017,18:00,5.6,293.7,6.7,303.7
4/6/2017,19:00,4.2,348.2,6.0,307.1
4/6/2017,20:00,3.4,5.1,6.4,306.4
4/6/2017,21:00,2.6,23.4,6.2,309.6
4/6/2017,22:00,3.7,290.7,6.2,309.5
4/6/2017,23:00,2.7,295.7,5.6,315.4
4/7/2017,0:00,1.3,326.6,6.8,328.8
4/7/2017,1:00,2.1,276.1,5.4,332.2
4/7/2017,2:00,1.6,351.6,4.0,331.5
4/7/2017,3:00,1.7,43.9,3.9,317.9
4/7/2017,4:00,1.8,356.3,4.0,318.0
4/7/2017,5:00,3.5,249.9,2.6,338.6
4/7/2017,6:00,3.6,301.0,1.5,12.4
4/7/2017,7:00,2.1,252.1,1.4,31.4
4/7/2017,8:00,1.3,198.8,0.6,172.5
4/7/2017,9:00,2.7,98.6,1.0,187.7
4/7/2017,10:00,4.1,167.5,2.4,204.7
4/7/2017,11:00,4.9,359.2,4.1,212.1
4/7/2017,12:00,6.3,198.7,5.0,216.5
4/7/2017,13:00,6.7,8.1,5.5,220.3
4/7/2017,14:00,5.3,299.6,6.7,226.1
4/7/2017,15:00,2.8,282.6,7.9,236.1
4/7/2017,16:00,2.3,239.4,8.4,242.2
4/7/2017,17:00,2.4,262.7,8.3,245.3
4/7/2017,18:00,4.1,279.4,8.3,250.0
4/7/2017,19:00,3.1,221.4,6.7,265.3
4/7/2017,20:00,5.0,303.7,6.8,285.9
4/7/2017,21:00,2.5,314.4,7.0,315.8
4/7/2017,22:00,1.7,49.3,7.3,332.5
4/7/2017,23:00,2.6,333.0,9.0,335.9
4/8/2017,0:00,2.5,81.7,9.9,333.4
4/8/2017,1:00,3.1,331.5,10.2,343.6
4/8/2017,2:00,3.0,46.9,9.2,359.0
4/8/2017,3:00,6.2,334.4,7.1,18.9
4/8/2017,4:00,3.3,28.9,4.9,65.5
4/8/2017,5:00,7.7,8.5,1.7,14.1
4/8/2017,6:00,10.5,5.6,0.5,266.1
4/8/2017,7:00,6.5,0.9,1.0,271.6
4/8/2017,8:00,7.2,17.7,1.3,309.4
4/8/2017,9:00,4.7,26.0,3.5,314.2
4/8/2017,10:00,6.5,1.8,3.3,316.9
4/8/2017,11:00,5.2,11.6,3.3,317.7
4/8/2017,12:00,5.7,25.0,3.8,317.1
4/8/2017,13:00,5.6,27.5,4.6,320.4
4/8/2017,14:00,4.4,31.8,5.6,321.5
4/8/2017,15:00,2.9,356.1,7.0,320.1
4/8/2017,16:00,6.3,309.0,7.8,320.7
4/8/2017,17:00,8.5,317.2,7.9,326.0
4/8/2017,18:00,9.9,324.4,8.0,329.0
4/8/2017,19:00,9.5,331.9,9.2,329.1
4/8/2017,20:00,10.3,341.4,10.8,338.9
4/8/2017,21:00,6.1,41.6,11.9,349.1
4/8/2017,22:00,10.5,356.4,11.7,5.6
4/8/2017,23:00,12.3,1.4,8.7,33.1
4/9/2017,0:00,9.9,6.3,9.1,20.7
4/9/2017,1:00,6.3,22.8,7.0,34.8
